Title,Artist,Genres,Album,Duration,Img
All of Me,John Legend,"['neo soul', 'pop', 'pop soul', 'urban contemporary']",Love In The Future (Expanded Edition),4:29,https://i.scdn.co/image/ab67616d0000b27394c9217a398f5174757c0c78
Riptide,Vance Joy,"['folk-pop', 'modern rock']",Dream Your Life Away,3:24,https://i.scdn.co/image/ab67616d0000b273d3ce97395ff522b0d70c1094
Thunder,Imagine Dragons,"['modern rock', 'pop', 'rock']",Evolve,3:07,https://i.scdn.co/image/ab67616d0000b2737956bd9a3d7a15e4c2e37cc6
Elvis,The Pretty Ugly,[],Elvis,5:50,https://i.scdn.co/image/ab67616d0000b2730653f27dfd49cdc311f89df3
Counting Stars,OneRepublic,"['piano rock', 'pop']",Native,4:17,https://i.scdn.co/image/ab67616d0000b2730dcd4d3fb73a5d9ba449a5f3
goosebumps,Travis Scott,"['hip hop', 'rap', 'slap house']",Birds In The Trap Sing McKnight,4:03,https://i.scdn.co/image/ab67616d0000b273f54b99bf27cda88f4a7403ce
7 rings,Ariana Grande,['pop'],"thank u, next",2:58,https://i.scdn.co/image/ab67616d0000b27356ac7b86e090f307e218e9c8
One More Kiss,The Hourglass Effect,[],One More Kiss,3:40,https://i.scdn.co/image/ab67616d0000b273ad39a2444e634d8fdabca6be
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,"['pop rap', 'seattle hip hop']",The Heist,4:18,https://i.scdn.co/image/ab67616d0000b27398a02fef3a8b1d80a0f164ec
SAD!,XXXTENTACION,"['emo rap', 'miami hip hop', 'rap']",?,2:46,https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c
Stressed Out,Twenty One Pilots,"['modern rock', 'pop', 'pov: indie', 'rock']",Blurryface,3:22,https://i.scdn.co/image/ab67616d0000b273de03bfc2991fd5bcfde65ba3
Wake Me Up - Radio Edit,Avicii,"['dance pop', 'edm', 'pop', 'pop dance']",True,4:07,https://i.scdn.co/image/ab67616d0000b273d20bacc84d203cc330a5df75
sunburn,JUNO,[],sunburn,2:56,https://i.scdn.co/image/ab67616d0000b273136124e0e5e5627acc581af3
The Hills,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",Beauty Behind The Madness,4:02,https://i.scdn.co/image/ab67616d0000b273aac98daa18e4edf54d7a0a70
Jocelyn Flores,XXXTENTACION,"['emo rap', 'miami hip hop', 'rap']",17,1:59,https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5
Another Love,Tom Odell,['chill pop'],Long Way Down (Deluxe),4:04,https://i.scdn.co/image/ab67616d0000b2731917a0f3f4152622a040913f
Let Her Go,Passenger,"['folk-pop', 'neo mellow']",All The Little Lights,4:12,https://i.scdn.co/image/ab67616d0000b273cd318f88c2016b08fa9834f9
Boomerang,The Hourglass Effect,[],Boomerang,3:30,https://i.scdn.co/image/ab67616d0000b2735d84d5b4ca289839f202fe86
HUMBLE.,Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",DAMN.,2:57,https://i.scdn.co/image/ab67616d0000b2739e0062560d8bcccca15d412a
One Kiss (with Dua Lipa),Calvin Harris,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",One Kiss (with Dua Lipa),3:34,https://i.scdn.co/image/ab67616d0000b273d09f96d82310d4d77c14c108
XO Tour Llif3,Lil Uzi Vert,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap']",Luv Is Rage 2,3:02,https://i.scdn.co/image/ab67616d0000b27341b41e6f7924e530a9b00f9c
good 4 u,Olivia Rodrigo,['pop'],SOUR,2:58,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a
Faded,BETHY,[],Faded,4:06,https://i.scdn.co/image/ab67616d0000b27333076941303759be5869d849
Demons,Imagine Dragons,"['modern rock', 'pop', 'rock']",Night Visions (Deluxe),2:55,https://i.scdn.co/image/ab67616d0000b273dee648abe19dd6e10902c4ae
drivers license,Olivia Rodrigo,['pop'],SOUR,4:02,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a
SICKO MODE,Travis Scott,"['hip hop', 'rap', 'slap house']",ASTROWORLD,5:12,https://i.scdn.co/image/ab67616d0000b273072e9faef2ef7b6db63834a3
New Rules,Dua Lipa,"['dance pop', 'pop', 'uk pop']",Dua Lipa (Deluxe),3:29,https://i.scdn.co/image/ab67616d0000b273838698485511bd9108fadadc
Happier,Marshmello,"['brostep', 'edm', 'pop', 'progressive electro house']",Happier,3:34,https://i.scdn.co/image/ab67616d0000b27304bfd5a5fd5aa6ca648f66aa
Treat You Better,Shawn Mendes,"['canadian pop', 'pop', 'viral pop']",Illuminate (Deluxe),3:07,https://i.scdn.co/image/ab67616d0000b273f9cbd0c07513a7232cd6b9a7
Havana (feat. Young Thug),Camila Cabello,"['dance pop', 'pop']",Camila,3:37,https://i.scdn.co/image/ab67616d0000b2736eb0b9e73adcf04e4ed3eca4
No Role Modelz,J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",2014 Forest Hills Drive,4:52,https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8
Lose Yourself,Eminem,"['detroit hip hop', 'hip hop', 'rap']",SHADYXV,5:20,https://i.scdn.co/image/ab67616d0000b2733f66b5b49ccea004a5ef0db2
I Remember (feat. Roddy Ricch & Kodak Black),Internet Money,['pop rap'],I Remember (feat. Roddy Ricch & Kodak Black),2:53,https://i.scdn.co/image/ab67616d0000b273b54cd6b28eb02970c045804a
Yellow,Coldplay,"['permanent wave', 'pop']",Parachutes,4:26,https://i.scdn.co/image/ab67616d0000b2733d92b2ad5af9fbc8637425f0
Let Me Love You,DJ Snake,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance']",Encore,3:25,https://i.scdn.co/image/ab67616d0000b273212d776c31027c511f0ee3bc
Do I Wanna Know?,Arctic Monkeys,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",AM,4:32,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163
